,Title,Theme,Show,Author,Length,Published,Views,Likes,Comments,Privacy Status,Region Restriction Count,Tag Count,
26,2024 Mahayudh: Modi Guarantee Vs Wobbly Opposition | Lok Sabha Elections 2024 | English News,Praising Ruling Party,The_Right_Stand_With_Anand_Narasimhan,CNN-News18,35m 19s,2024-01-25T16:09:38Z,2726,24,4,public,,22,
27,Ayodhya Ram Mandir | Manish Tripathi Exclusive : The Man Who Designed Ram Lalla's Attire | News18,Religious issues,The_Right_Stand_With_Anand_Narasimhan,CNN-News18,11m 34s,2024-01-24T16:06:49Z,462,2,0,public,,22,
28,Do We Need To Learn Lessons On 'Sustainability'? | The Right Stand With Anand Naramsihan | News18,Religious issues,The_Right_Stand_With_Anand_Narasimhan,CNN-News18,23m 44s,2024-01-24T08:45:44Z,524,3,0,public,,22,
29,Mahabharat's Krishna On Ram | Nitish Bharadwaj's Exclusive Interview On Ram | Ram Mandir | News18,Religious issues,The_Right_Stand_With_Anand_Narasimhan,CNN-News18,21m 51s,2024-01-23T15:44:37Z,110395,2332,277,public,,18,
30,Discussion Over Women & Hindu Tradition | Dayanand Kanya Gurukul | Women's Education In India,Religious issues,The_Right_Stand_With_Anand_Narasimhan,CNN-News18,27m 1s,2024-01-23T15:40:14Z,5052,237,35,public,,24,
31,Ram Mandir Ayodhya | PM Modi Unveils Lord Ram Idol | Ram Temple Consecration Ceremony | News18,Religious issues,The_Right_Stand_With_Anand_Narasimhan,CNN-News18,49m 47s,2024-01-22T16:43:35Z,2085,24,2,public,,18,
32,Actor And Author Anupam Kher Talks About Ayodhya Ram Mandir's Pran Pratishtha Ceremony | News18,Religious issues,The_Right_Stand_With_Anand_Narasimhan,CNN-News18,13m 5s,2024-01-21T16:44:41Z,12201,114,7,public,,20,
33,Ram Lalla Virajman: Special From Ayodhya | Ram Mandir Ayodhya | Ram Temple Inauguration | News18,Religious issues,The_Right_Stand_With_Anand_Narasimhan,CNN-News18,32m 32s,2024-01-19T16:35:29Z,993,8,0,public,,19,
34,Pranam Siya Ram': Team Behind 'Ram Anthem' | Ram Mandir Ayodhya | Ram Temple Inauguration | News18,Religious issues,The_Right_Stand_With_Anand_Narasimhan,CNN-News18,9m 35s,2024-01-19T16:30:22Z,1542,9,0,public,,19,
35,"Exclusive: Brahmarishi Mohanji Interview | Brahmarishi Mohanji On Ram, Mandir And Bharat | News18",Religious issues,The_Right_Stand_With_Anand_Narasimhan,CNN-News18,19m 53s,2024-01-18T17:04:00Z,2049,57,28,public,,19,
