Unnamed: 0,Title,Show,Author,Length,Published,Views,Likes,Comments,Privacy Status,Region Restriction Count,Tag Count,Unnamed: 12,Time
4,Supreme Court's Judgment on Electoral Bond Scheme Sparks Heated Debate,Newstrack_with_Rahul_Kanwal,India Today,11m 5s,2024-02-15T15:28:28Z,4204,25,16,public,,,22.0,11.083333333333334
5,Supreme Court's Electoral Bond Verdict: SC Strikes Down Ineffective Transparency Scheme,Newstrack_with_Rahul_Kanwal,India Today,8m 22s,2024-02-15T15:25:35Z,533,1,2,public,,,25.0,8.366666666666667
6,Newstrack With Rahul Kanwal Live: BJP On Backfoot After Indictment | SC On Electoral Bonds Live,Newstrack_with_Rahul_Kanwal,India Today,52m 21s,2024-02-15T15:25:09Z,18531,61,80,public,,,16.0,52.35
7,"Supreme Court Scraps Electoral Bonds, Mandates Full Transparency",Newstrack_with_Rahul_Kanwal,India Today,9m 18s,2024-02-15T15:20:48Z,555,5,3,public,,,21.0,9.3
8,"Supreme Court: Electoral Bonds Unconstitutional, Directs SBI to Cease Issuance",Newstrack_with_Rahul_Kanwal,India Today,4m 17s,2024-02-15T15:17:07Z,1735,14,4,public,,,26.0,4.283333333333333
9,India First With Gaurav Sawant LIVE: PM Modi Inaugurates UAE Mandir | PM Modi In UAE | Abu Dhabi,Newstrack_with_Rahul_Kanwal,India Today,29m 25s,2024-02-14T16:59:49Z,1081,14,1,public,,,19.0,29.416666666666668
10,Newstrack With Gaurav Sawant LIVE: PM Modi Inaugurates UAE Mandir | PM Modi In UAE | Abu Dhabi,Newstrack_with_Rahul_Kanwal,India Today,1h 5m 4s,2024-02-14T16:32:38Z,1202,7,2,public,,,19.0,65.06666666666666
11,Newstrack With Gaurav Sawant LIVE: PM Modi Inaugurates UAE Mandir | PM Modi In UAE | Abu Dhabi,Newstrack_with_Rahul_Kanwal,India Today,1h 8m 35s,2024-02-14T15:42:51Z,2496,21,4,public,,,19.0,68.58333333333333
12,UAE's Hindu Temple Promotes Religious Harmony And Cultural Learning,Newstrack_with_Rahul_Kanwal,India Today,10m 13s,2024-02-14T15:40:16Z,396,4,2,public,,,25.0,10.216666666666667
13,"PM's Multilingual Address in UAE Highlights India's Unity, Announces India-UAE Economic Corridor",Newstrack_with_Rahul_Kanwal,India Today,7m 46s,2024-02-14T15:37:11Z,500,5,1,public,,,27.0,7.766666666666667
14,Prime Minister Discusses Symbolism Of Vasudhaiva Kutumbakam In Abu Dhabi's Temple,Newstrack_with_Rahul_Kanwal,India Today,7m 11s,2024-02-14T15:30:09Z,569,5,1,public,,,26.0,7.183333333333334
15,Largest Hindu Temple In Islamic World Opens In Abu Dhabi,Newstrack_with_Rahul_Kanwal,India Today,4m 22s,2024-02-14T15:26:26Z,6925,51,15,public,,,24.0,4.366666666666666
16,Ground Report of the Magnificent Temple Built In Abu Dhabi Desert,Newstrack_with_Rahul_Kanwal,India Today,5m 12s,2024-02-14T15:23:58Z,538,4,5,public,,,24.0,5.2
17,Rahul Kanwal LIVE: Farmer Protest LIVE News | Can Government Quell This Uprising? | India Today LIVE,Newstrack_with_Rahul_Kanwal,India Today,1h 11m 49s,2024-02-14T02:55:17Z,2534,14,3,public,,,20.0,71.81666666666666
18,"Rahul Gandhi, Congress Pledge MSP Commitment Amid Farmers' Protest",Newstrack_with_Rahul_Kanwal,India Today,6m 23s,2024-02-13T15:47:53Z,5239,49,39,public,,,27.0,6.383333333333334
19,Debate On Implementation of Swaminathan Report Intensifies | India Today,Newstrack_with_Rahul_Kanwal,India Today,4m 43s,2024-02-13T15:43:50Z,1363,14,9,public,,,27.0,4.716666666666667
20,Debate On The Cost Of Implementing MSP For All Crops,Newstrack_with_Rahul_Kanwal,India Today,6m 31s,2024-02-13T15:39:27Z,6568,29,77,public,,,29.0,6.516666666666667
21,Tension Grips Punjab-Haryana Border Amid Farmer Protests,Newstrack_with_Rahul_Kanwal,India Today,9m 8s,2024-02-13T15:35:38Z,1458,14,4,public,,,26.0,9.133333333333333
22,Farmers Agitate Again: Farmster 2.0 Erupts At Delhi Borders,Newstrack_with_Rahul_Kanwal,India Today,4m 19s,2024-02-13T15:32:27Z,490,2,1,public,,,28.0,4.316666666666666
23,Newstrack with Rahul Kanwal | Farmers' Protest: Can Government Quell This Uprising? | India Today,Newstrack_with_Rahul_Kanwal,India Today,35m 55s,2024-02-13T15:30:19Z,12204,81,101,public,,,21.0,35.916666666666664
24,"Rahul Kanwal LIVE: Big Diplomatic Win For India, Qatar Releases 8 Indian Navy Veterans | India Today",Newstrack_with_Rahul_Kanwal,India Today,11h 54m 55s,2024-02-13T05:03:42Z,18384,72,1,public,,,17.0,714.9166666666666
25,Qatar Releases Eight Indian Navy Veterans Following Modi's Gulf Diplomacy & More | India Today,Newstrack_with_Rahul_Kanwal,India Today,45m 3s,2024-02-12T16:06:37Z,8958,72,11,public,,,20.0,45.05
26,India's Diverse Relationship With its Neighbors Under Analysis,Newstrack_with_Rahul_Kanwal,India Today,4m 57s,2024-02-12T16:00:27Z,640,3,2,public,,,20.0,4.95
27,Pakistan Elections: Uncertainty Looms Over Next Government Formation,Newstrack_with_Rahul_Kanwal,India Today,8m 43s,2024-02-12T15:55:34Z,4094,29,3,public,,,24.0,8.716666666666667
28,Indian Prime Minister's Visit Enhances India's Growing Global Standing,Newstrack_with_Rahul_Kanwal,India Today,7m 4s,2024-02-12T15:45:04Z,15438,78,12,public,,,16.0,7.066666666666666
29,India Asserts Power in Global Politics: The Evolution from Nehru to Present Day,Newstrack_with_Rahul_Kanwal,India Today,7m 15s,2024-02-12T15:39:01Z,21870,97,23,public,,,16.0,7.25
30,"Rahul Kanwal LIVE: Big Diplomatic Win For India, Qatar Releases 8 Indian Navy Veterans | India Today",Newstrack_with_Rahul_Kanwal,India Today,51m 29s,2024-02-12T15:32:43Z,32432,175,47,public,,,17.0,51.483333333333334
31,Newstrack With Rahul Kanwal LIVE: Abu Dhabi’s First Hindu Temple To Be Inaugurated By PM Modi,Newstrack_with_Rahul_Kanwal,India Today,51m 17s,2024-02-12T15:28:47Z,4421,28,1,public,,,17.0,51.28333333333333
32,"PM to Inaugurate First Hindu Temple in UAE, Address Diaspora",Newstrack_with_Rahul_Kanwal,India Today,4m 41s,2024-02-12T15:15:09Z,5121,50,10,public,,,16.0,4.683333333333334
33,Qatar Releases Eight Indian Navy Veterans Following PM Modi's Diplomatic Intervention,Newstrack_with_Rahul_Kanwal,India Today,4m 17s,2024-02-12T15:10:44Z,1702,36,4,public,,,23.0,4.283333333333333
34,Rahul Kanwal LIVE On State Fund War: Politics Over North-South State Fund Peaks | India Today LIVE,Newstrack_with_Rahul_Kanwal,India Today,11h 10m 59s,2024-02-08T02:14:51Z,7329,22,5,public,,,17.0,670.9833333333333
35,Rahul Kanwal LIVE: North Vs South State Fund Fight Escalates | Siddaramaiah News | India Today LIVE,Newstrack_with_Rahul_Kanwal,India Today,8h 31m 41s,2024-02-08T01:44:04Z,1876,10,0,public,,,17.0,511.68333333333334
36,BJP Slams Sanju Verma Slams North Vs South divide | India Today News,Newstrack_with_Rahul_Kanwal,India Today,59s,2024-02-07T17:32:59Z,3718,15,4,public,,,19.0,0.0
37,Subhash Chandra Garg Discusses Centre's Financial Management,Newstrack_with_Rahul_Kanwal,India Today,23m 37s,2024-02-07T17:00:07Z,6403,31,24,public,,,19.0,23.616666666666667
38,"Discussion on Cesses, Surcharges, and Government Borrowing | North vs South | India Today News",Newstrack_with_Rahul_Kanwal,India Today,4m 1s,2024-02-07T16:56:28Z,9092,18,5,public,,,19.0,4.016666666666667
39,State's Fiscal Responsibility Breach: Siddharth Nair Accused,Newstrack_with_Rahul_Kanwal,India Today,32s,2024-02-07T16:56:03Z,350,0,0,public,,,14.0,0.0
40,"Analysis: Impact of Increasing Cesses, Surcharges on Excise Duty",Newstrack_with_Rahul_Kanwal,India Today,1m 7s,2024-02-07T16:53:30Z,294,0,0,public,,,18.0,1.1166666666666667
41,Debate Rages Over States' Share in Central Revenue and Finance Commission Devolution,Newstrack_with_Rahul_Kanwal,India Today,2m 31s,2024-02-07T16:53:15Z,637,1,1,public,,,18.0,2.5166666666666666
42,Economy Growth and Government Borrowing: A Discussion,Newstrack_with_Rahul_Kanwal,India Today,2m 38s,2024-02-07T16:45:25Z,747,1,0,public,,,19.0,2.6333333333333333
43,Devolution of Central Taxes Hoists Controversy Discussed | India Today News,Newstrack_with_Rahul_Kanwal,India Today,4m 40s,2024-02-07T16:42:07Z,3242,14,37,public,,,21.0,4.666666666666667
44,Central Government Finances and State Dissatisfaction Discussed,Newstrack_with_Rahul_Kanwal,India Today,12m 20s,2024-02-07T16:39:21Z,3062,14,22,public,,,20.0,12.333333333333334
45,"MP Questions 'My Tax, My Right' Argument in Relation to Bengaluru Revenue",Newstrack_with_Rahul_Kanwal,India Today,29s,2024-02-07T15:51:42Z,728,8,0,public,,,22.0,0.0
46,Debate Over Bogus Rice Distribution Claim Amid State Politics,Newstrack_with_Rahul_Kanwal,India Today,35s,2024-02-07T15:50:15Z,224,3,0,public,,,17.0,0.0
47,Tejaswi Surya Responds to Accusations of Injustice to Karnataka by Congress Party,Newstrack_with_Rahul_Kanwal,India Today,4m 54s,2024-02-07T15:49:55Z,1265,22,7,public,,,18.0,4.9
48,Opposition's Tax Debate and India Alliance's Struggles Amid BJP Challenge,Newstrack_with_Rahul_Kanwal,India Today,54s,2024-02-07T15:48:32Z,523,2,2,public,,,19.0,0.0
49,Debate Over Karnataka's Finance Commission Allocation Unfolds,Newstrack_with_Rahul_Kanwal,India Today,7m 30s,2024-02-07T15:41:37Z,9358,73,196,public,,,28.0,7.5
50,Newstrack With Rahul Kanwal LIVE :North Vs South State Fund Fight Escalates | India Today LIVE,Newstrack_with_Rahul_Kanwal,India Today,56m 50s,2024-02-07T15:27:51Z,11419,64,55,public,,,17.0,56.833333333333336
51,Rahul Kanwal LIVE: Can Modi Machine Really Deliver 400 Seats In The Upcoming Lok Sabha Elections?,Newstrack_with_Rahul_Kanwal,India Today,11h 23m 43s,2024-02-07T02:16:24Z,5024,10,0,public,,,22.0,683.7166666666667
52,Rahul Kanwal LIVE: PM Modi Sets Massive 370 Target For BJP | BJP On 2024 Elections | India Today,Newstrack_with_Rahul_Kanwal,India Today,9h 7m 16s,2024-02-07T01:58:40Z,2280,4,0,public,,,22.0,547.2666666666667
53,PM Modi Accuses Opposition of Spreading North-South Divide Amid Funds Showdown,Newstrack_with_Rahul_Kanwal,India Today,1m 30s,2024-02-06T16:11:30Z,8170,42,57,public,,,15.0,1.5
54,Tamil Nadu CM Backs Kerala's Opposition to Centre's Fiscal Control,Newstrack_with_Rahul_Kanwal,India Today,2m 3s,2024-02-06T16:10:45Z,12930,81,25,public,,,19.0,2.05
55,Karnataka CM Siddharamaiah Plans Mega Protest in Delhi Against Central Government,Newstrack_with_Rahul_Kanwal,India Today,1m 26s,2024-02-06T16:09:23Z,862,6,5,public,,,21.0,1.4333333333333333
56,Southern States Turn Up Heat in Fund Battle Against Centre,Newstrack_with_Rahul_Kanwal,India Today,5m 58s,2024-02-06T16:08:58Z,5999,90,110,public,,,19.0,5.966666666666667
57,Sandeep Shastri Analyzes BJP's Winning Prospects in Heartland States,Newstrack_with_Rahul_Kanwal,India Today,10m 56s,2024-02-06T15:53:40Z,77473,221,79,public,,,25.0,10.933333333333334
58,Discussion Over BJP's Prospects and Congress's Woes - BJP's Sanju Verma Weighs In,Newstrack_with_Rahul_Kanwal,India Today,3m 3s,2024-02-06T15:49:48Z,488,1,0,public,,,29.0,3.05
59,Is Modi's 10-Year Reign Shaping India's Upcoming Election?,Newstrack_with_Rahul_Kanwal,India Today,3m 23s,2024-02-06T15:49:14Z,1072,4,2,public,,,20.0,3.3833333333333333
60,Expert Discusses Possibility of BJP's 90-Seat Growth in National Elections,Newstrack_with_Rahul_Kanwal,India Today,2m 58s,2024-02-06T15:47:05Z,14841,33,11,public,,,22.0,2.966666666666667
61,Prime Minister Predicts BJP To Cross 400 Seats in General Elections,Newstrack_with_Rahul_Kanwal,India Today,3m 59s,2024-02-06T15:31:34Z,1845,17,17,public,,,24.0,3.9833333333333334
62,Prime Minister Predicts BJP Victory in Upcoming Elections,Newstrack_with_Rahul_Kanwal,India Today,4m 6s,2024-02-06T15:30:14Z,527,2,3,public,,,19.0,4.1
63,Newstrack With Rahul Kanwal LIVE: PM Modi Sets Massive 370 Target For BJP | PM Modi On 2024 Polls,Newstrack_with_Rahul_Kanwal,India Today,57m 11s,2024-02-06T15:27:08Z,28209,139,38,public,,,22.0,57.18333333333333
64,PM Modi Outlines 'Mission 370' in Parliament Address | India Today,Newstrack_with_Rahul_Kanwal,India Today,6m 53s,2024-02-05T16:48:53Z,8800,76,59,public,,,26.0,6.883333333333333
65,Delhi Crime Branch team at Arvind Kejriwal’s home to give notice over poaching claim,Newstrack_with_Rahul_Kanwal,India Today,2m 30s,2024-02-02T15:54:08Z,4387,29,11,public,,,21.0,2.5
66,Waris Pathan: 'Our Babri Masjid was demolished through a conspiracy' | Gyanvapi Mosque Case,Newstrack_with_Rahul_Kanwal,India Today,45s,2024-02-02T15:43:02Z,809,2,0,public,,,22.0,0.0
67,Hindu Community Has Right to Pray at Revered Places: Dr. Bhatt,Newstrack_with_Rahul_Kanwal,India Today,1m 50s,2024-02-02T15:42:07Z,726,1,0,public,,,22.0,1.8333333333333335
68,The Ayodhya Project Completion Sparks Gyanvyapi Mosque Complex Controversy: TV Discussion Highlights,Newstrack_with_Rahul_Kanwal,India Today,21m 58s,2024-02-02T15:35:05Z,3183,12,10,public,,,29.0,21.966666666666665
69,Newstrack WIth Rahul Kanwal: No Relief To Muslim Side As HC Says Puja Inside Gyanvapi To Continue,Newstrack_with_Rahul_Kanwal,India Today,1h 1m 45s,2024-02-02T15:34:11Z,5915,37,8,public,,,23.0,61.75
70,2024 Interim Budget Points To Confident Third Modi Victory | Modinomics,Newstrack_with_Rahul_Kanwal,India Today,54m 26s,2024-02-01T16:12:10Z,23551,127,51,public,,,24.0,54.43333333333333
71,Exports Of Goods And Services To Reach $2 Trillion By 2030': Piyush Goyal | Budget 2024,Newstrack_with_Rahul_Kanwal,India Today,12m 3s,2024-02-01T15:59:46Z,1976,16,1,public,,,23.0,12.05
72,"By 2030, We Will Have 30 Cr Domestic Flyers In This Country': Jyotiraditya Scindia | Budget 2024",Newstrack_with_Rahul_Kanwal,India Today,17m 51s,2024-02-01T15:58:33Z,2684,20,2,public,,,24.0,17.85
73,Discussion On Growing Interest And Investment In Indian Economy | Naina Lal Kidwai Exclusive,Newstrack_with_Rahul_Kanwal,India Today,7m 6s,2024-02-01T15:50:57Z,819,6,0,public,,,24.0,7.1
74,Budget 2024 LIVE Analysis: Jyotiraditya Scindia Exclusive After Budget 2024 | India Today LIVE,Newstrack_with_Rahul_Kanwal,India Today,51m 45s,2024-02-01T15:37:05Z,8481,35,3,public,,,20.0,51.75
75,Budget 2024 LIVE: Rahul Kanwal With Union Minister Piyush Goyal LIVE | India Today LIVE,Newstrack_with_Rahul_Kanwal,India Today,10m 35s,2024-02-01T15:37:01Z,722,3,1,public,,,20.0,10.583333333333334
76,Budget 2024: Senior Modi Ministers Discuss Government Policies On Budget Of Confidence,Newstrack_with_Rahul_Kanwal,India Today,4m 55s,2024-02-01T15:32:56Z,632,4,0,public,,,24.0,4.916666666666667
77,Budget 2024: Nirmala Sitharaman Announces New Plans For India To Reach Net Zero Target | Modinomics,Newstrack_with_Rahul_Kanwal,India Today,46m 19s,2024-02-01T15:05:00Z,4695,21,11,public,,,24.0,46.31666666666667
78,Rural Is Not As Bad As A Lot Of People Think': Dr. Anish Shah On Rural Consumption,Newstrack_with_Rahul_Kanwal,India Today,8m 49s,2024-02-01T14:34:43Z,1846,3,0,public,,,24.0,8.816666666666666
79,10-Year Economic Performance: Modi Government Vs UPA Government | Interim Budget 2024,Newstrack_with_Rahul_Kanwal,India Today,9m 35s,2024-02-01T14:31:11Z,1454,21,6,public,,,24.0,9.583333333333334
80,Debate Over Government Spendings And Astrologically Inspired Numbers | Interim Budget 2024,Newstrack_with_Rahul_Kanwal,India Today,9m 42s,2024-02-01T14:28:03Z,9630,44,40,public,,,24.0,9.7
81,"P. Chidambaram Reveals Actual Capital Expenditure 50,000 crore Less Than Promised",Newstrack_with_Rahul_Kanwal,India Today,9m 29s,2024-02-01T14:24:37Z,9626,63,64,public,,,24.0,9.483333333333333
82,Govt's Capital Expenditure Hits Record 11.1 Trillion Rupees; Significant Boost To Infrastructure,Newstrack_with_Rahul_Kanwal,India Today,5m 52s,2024-02-01T14:20:51Z,3114,14,1,public,,,24.0,5.866666666666667
83,Assessing The Modi Government's Economic Performance: A Detailed Discussion,Newstrack_with_Rahul_Kanwal,India Today,43m 42s,2024-01-31T18:36:32Z,15713,36,21,public,,,24.0,43.7
84,Public Opinion On Quality Of Life For The Coming Year Analyzed | Interim Budget 2024,Newstrack_with_Rahul_Kanwal,India Today,9m 4s,2024-01-31T18:12:15Z,852,6,0,public,,,22.0,9.066666666666666
85,Discussing The State Of Private Investment And Budget Building | Interim Budget 2024,Newstrack_with_Rahul_Kanwal,India Today,9m 46s,2024-01-31T18:03:48Z,1242,4,2,public,,,22.0,9.766666666666667
86,Finance Minister Nirmala Sitharaman Prepares to Present Vote And Account | Interim Budget 2024,Newstrack_with_Rahul_Kanwal,India Today,8m 3s,2024-01-31T17:59:02Z,3529,17,4,public,,,22.0,8.05
87,Newstrack With Preeti Choudhry: 'Jharkhand Tiger' Champai Soren Likely To Take Over As CM,Newstrack_with_Rahul_Kanwal,India Today,57m 55s,2024-01-31T17:07:49Z,2469,15,1,public,,Ranchi,19.0,57.916666666666664
88,Top Opposition Leaders Face ED Interrogation In Money Laundering And Scam Cases,Newstrack_with_Rahul_Kanwal,India Today,5m 40s,2024-01-31T16:24:10Z,1292,13,8,public,,,29.0,5.666666666666667
89,Rahul Kanwal LIVE: ED Heat On Opposition Leaders | ED To Arrest Hemant Soren? | BJP News | I.N.D.I.A,Newstrack_with_Rahul_Kanwal,India Today,9h 37m 41s,2024-01-31T11:34:48Z,6875,24,8,public,,,24.0,577.6833333333333
90,Newstrack With Rahul Kanwal | ED Lens On Opposition Leaders: Is Modi Govt Out To Decimate The Oppn?,Newstrack_with_Rahul_Kanwal,India Today,8h 30m 19s,2024-01-31T01:33:13Z,890,4,2,public,,,23.0,510.31666666666666
91,Newstrack With Rahul Kanwal | ED Lens On Opposition Leaders: Is Modi Govt Out To Decimate The Oppn?,Newstrack_with_Rahul_Kanwal,India Today,1h 57m 33s,2024-01-30T16:29:53Z,10060,35,7,public,,,23.0,117.55
92,"Jharkhand CM Hemant Soren Resurfaces After 40 Hours, ED To Arrest Soren?",Newstrack_with_Rahul_Kanwal,India Today,47m 51s,2024-01-30T16:25:56Z,3201,7,7,public,,,29.0,47.85
93,"BJP Wins Chandigarh Mayor Polls Amid Controversy; AAP, Congress Allege Rigging",Newstrack_with_Rahul_Kanwal,India Today,3m 12s,2024-01-30T16:17:01Z,24222,176,172,public,,,20.0,3.2
94,"Two Indian Students Die in the US: One Brutally Murdered, Other Found Dead",Newstrack_with_Rahul_Kanwal,India Today,3m 29s,2024-01-30T16:15:38Z,132016,621,458,public,,,22.0,3.4833333333333334
95,Discussion on Political Corruption Cases: Opposition's Perspective,Newstrack_with_Rahul_Kanwal,India Today,8m 12s,2024-01-30T16:11:32Z,553,3,0,public,,,27.0,8.2
96,Jharkhand Chief Minister Accused of Avoiding ED Summons,Newstrack_with_Rahul_Kanwal,India Today,3m 5s,2024-01-30T15:43:08Z,898,4,1,public,,,27.0,3.0833333333333335
97,Discussion on ED's Role in Lalu Yadav and Hemant Soren Investigations,Newstrack_with_Rahul_Kanwal,India Today,8m 7s,2024-01-30T15:39:30Z,284,0,1,public,,,32.0,8.116666666666667
98,ED Lens On Opposition Leaders: Is Modi Govt Out To Decimate The Opposition? | India Today,Newstrack_with_Rahul_Kanwal,India Today,19m 42s,2024-01-30T15:34:12Z,1069,5,1,public,,,24.0,19.7
99,"Missing' Hemant Soren Surfaces In Ranchi, Says 'I Reside In Your Hearts'",Newstrack_with_Rahul_Kanwal,India Today,6m 30s,2024-01-30T15:25:31Z,10707,14,6,public,,,21.0,6.5
100,Jharkhand CM Resurfaces After 40 Hours Amid ED Investigations,Newstrack_with_Rahul_Kanwal,India Today,4m 37s,2024-01-30T15:19:27Z,2304,16,1,public,,,27.0,4.616666666666667
101,Former Bihar Deputy Chief Minister Tejashwi Yadav Leaves Enforcement Directorate After Grilling,Newstrack_with_Rahul_Kanwal,India Today,2m 13s,2024-01-30T15:15:27Z,16071,65,16,public,,,25.0,2.216666666666667
102,Tejashwi Yadav Emerges After Nine-Hour Grilling By ED | ED Tightens Grip on Jharkhand CM Soren,Newstrack_with_Rahul_Kanwal,India Today,15m 1s,2024-01-30T15:08:42Z,1361,7,5,public,,,25.0,15.016666666666667
103,Newstrack WIth Rahul Kanwal: Uttarakhand House Likely To Approve UCC Bill Next Month | India Today,Newstrack_with_Rahul_Kanwal,India Today,11h 36m 5s,2024-01-30T02:34:39Z,36982,127,0,public,,,24.0,696.0833333333334
104,"NewsTrack: Uniform Civil Code In Uttarakhand Soon, Draft Bill To Be Submitted On Feb 2",Newstrack_with_Rahul_Kanwal,India Today,51m 19s,2024-01-29T16:47:20Z,10769,54,11,public,,,27.0,51.31666666666667
105,Discussion On Selective Enforcement Of Corruption Charges Against Political Leaders | India Today,Newstrack_with_Rahul_Kanwal,India Today,7m 57s,2024-01-29T15:58:44Z,1061,7,3,public,,,27.0,7.95
106,Discussion On Implementation Of UCC And CA In India | India Today News,Newstrack_with_Rahul_Kanwal,India Today,15m 57s,2024-01-29T15:54:44Z,4830,27,6,public,,,27.0,15.95
107,Government's Strategic Moves and Opposition's Response: Discussion,Newstrack_with_Rahul_Kanwal,India Today,2m 58s,2024-01-29T15:52:34Z,505,2,0,public,,,22.0,2.966666666666667
108,BJP Gears up for UCC And Citizenship Amendment Act Implementation,Newstrack_with_Rahul_Kanwal,India Today,7m 57s,2024-01-29T15:48:49Z,13438,108,26,public,,,23.0,7.95
109,Saffron Flag Showdown Erupts in Karnataka After Hanuman Flag Replaced,Newstrack_with_Rahul_Kanwal,India Today,3m 59s,2024-01-29T15:46:37Z,24505,215,168,public,,,21.0,3.9833333333333334
110,Gyanvapi Case Takes New Turn: Hindu Litigants Approach Supreme Court For ASI Survey,Newstrack_with_Rahul_Kanwal,India Today,3m 14s,2024-01-29T15:44:12Z,7475,56,13,public,,,17.0,3.2333333333333334
111,"NewsTrack: Government Eyes Uniform Civil Code, Citizenship Amendment Act Next",Newstrack_with_Rahul_Kanwal,India Today,32m 41s,2024-01-29T15:39:21Z,38645,275,110,public,,,28.0,32.68333333333333
112,Uttarakhand CM Declares Uniform Civil Code Draft Submission Date | India Today News,Newstrack_with_Rahul_Kanwal,India Today,3m 25s,2024-01-29T10:17:05Z,959,6,1,public,,,19.0,3.4166666666666665
113,Rahul Kanwal LIVE: Nitish Kumar Takes Oath As Bihar CM LIVE | Nitish Kumar News LIVE |INDIA TODAY,Newstrack_with_Rahul_Kanwal,India Today,8h 41m 1s,2024-01-29T01:57:39Z,2854,19,0,public,,,21.0,521.0166666666667
114,Bihar Politics LIVE: Nitish Kumar Takes Oath As Bihar CM LIVE | Nitish Kumar News LIVE |INDIA TODAY,Newstrack_with_Rahul_Kanwal,India Today,2h 44m 16s,2024-01-28T17:01:17Z,8341,20,0,public,,,21.0,164.26666666666668
115,Newstrack With Rahul Kanwal LIVE: Watch Ian Bremmer Exclusive On Israel-Palestine Conflict,Newstrack_with_Rahul_Kanwal,India Today,24m 25s,2024-01-26T15:24:53Z,1819,19,0,public,,,20.0,24.416666666666668
116,Political Stock Exchange With Rahul Kanwal: Will Ram Mandir Influence Lok Sabha Election 2024?,Newstrack_with_Rahul_Kanwal,India Today,11h 15m 46s,2024-01-26T02:15:08Z,13347,66,1,public,,,22.0,675.7666666666667
117,Political Stock Exchange With Rahul Kanwal: Will Ram Mandir Influence Lok Sabha Election 2024?,Newstrack_with_Rahul_Kanwal,India Today,50m 42s,2024-01-25T16:08:58Z,19029,105,45,public,,,22.0,50.7
118,Will BJP Benefit from Ram Mandir in 2024 Elections? Survey Predicts Gain,Newstrack_with_Rahul_Kanwal,India Today,5m 58s,2024-01-25T15:39:00Z,4241,26,9,public,,,22.0,5.966666666666667
119,Poll Indicates Ram Temple Inauguration Could Dominate 2024 Elections,Newstrack_with_Rahul_Kanwal,India Today,8m 51s,2024-01-25T15:36:15Z,7282,32,6,public,,,21.0,8.85
120,Majority Brushes Off Opposition's Boycott of Ram Mandir Pran Pratishtha,Newstrack_with_Rahul_Kanwal,India Today,7m 42s,2024-01-25T15:33:27Z,1283,10,6,public,,,21.0,7.7
121,Poll Reveals Mixed Public Opinion on Pran Pratishtha Ceremony | India Today,Newstrack_with_Rahul_Kanwal,India Today,4m 58s,2024-01-25T15:28:02Z,630,1,5,public,,,20.0,4.966666666666667
122,National Mood On Ayodhya Celebration Revealed In Latest Poll,Newstrack_with_Rahul_Kanwal,India Today,6m 45s,2024-01-25T15:23:40Z,601,5,0,public,,,20.0,6.75
123,Newstrack With Rahul Kanwal LIVE: What Next For INDIA Alliance As Mamata Banerjee Ditches Congress?,Newstrack_with_Rahul_Kanwal,India Today,4h 32m 40s,2024-01-25T06:27:32Z,1242,1,3,public,,,20.0,272.6666666666667
124,Trinamool's Solo Decision Reveal Concerns Over Congress Leadership For India Alliance,Newstrack_with_Rahul_Kanwal,India Today,27m 54s,2024-01-24T15:41:00Z,14430,59,39,public,,,25.0,27.9
125,Congress' Tense Internal Politics As Lok Sabha Race Heats Up,Newstrack_with_Rahul_Kanwal,India Today,9m 19s,2024-01-24T15:35:58Z,5460,20,17,public,,,23.0,9.316666666666666
126,"Blow To 'INDIA', Wake Up Call For Cong | Furious Mamata Ditches Cong| News Track With Rahul Kanwal",Newstrack_with_Rahul_Kanwal,India Today,59m 56s,2024-01-24T15:33:06Z,35673,148,93,public,,,21.0,59.93333333333333
127,TMC-Congress Split Weakens Opposition Against BJP: Amitabh Tiwari,Newstrack_with_Rahul_Kanwal,India Today,3m 46s,2024-01-24T15:30:46Z,1401,7,2,public,,,25.0,3.7666666666666666
128,Mamata Banerjee Decides to Go Solo: TMC vs I.N.D.I.A. Alliance,Newstrack_with_Rahul_Kanwal,India Today,10m 44s,2024-01-24T15:28:10Z,9268,38,18,public,,,20.0,10.733333333333333
129,Mamata Banerjee Dumps Congress Ahead of 2024 Lok Sabha Polls,Newstrack_with_Rahul_Kanwal,India Today,7m 20s,2024-01-24T15:23:05Z,1724,13,10,public,,,24.0,7.333333333333333
130,Newstrack With Rahul Kanwal: Is 'Ram Rajya' Beyond Politics? New Dawn For Indian Civilisation?,Newstrack_with_Rahul_Kanwal,India Today,11h 3m 41s,2024-01-24T02:01:01Z,19481,98,6,public,,,20.0,663.6833333333333
131,Newstrack With Rahul Kanwal: Modi Declares Bharat's Ram Rajya After Spectacular Ayodhya 'Aarambh',Newstrack_with_Rahul_Kanwal,India Today,7h 5m 30s,2024-01-24T01:50:00Z,2989,19,0,public,,,20.0,425.5
132,"Newstrack With Rahul Kanwal: Amish Tripathi, Ashwin Sanghi & Pavan Varma EXCLUSIVE On Ram Mandir",Newstrack_with_Rahul_Kanwal,India Today,48m 48s,2024-01-23T18:06:22Z,33108,282,104,public,,,20.0,48.8
133,Discussion On Shifting Religious Consciousness In Indian Society | Ram Mandir Pran Pratishtha,Newstrack_with_Rahul_Kanwal,India Today,9m 30s,2024-01-23T17:57:16Z,1051,8,3,public,,,20.0,9.5
