Unnamed: 0,Title,Show,Author,Length,Published,Views,Likes,Comments,Privacy Status,Region Restriction Count,Tag Count,Unnamed: 12,Time
22,Hemant Soren Today | Jharkhand CM Hemant Soren ED News Live | Hemant Soren Delhi House | News18,The_Right_Stand_With_Anand_Narasimhan,CNN-News18,43m 31s,2024-01-30T15:47:34Z,1741,10,0,public,,22,,43.516666666666666
23,55 Hindu Deity Sculptures Found Inside Gyanvapi Complex: ASI Survey Report On Mosque | News18,The_Right_Stand_With_Anand_Narasimhan,CNN-News18,39m 9s,2024-01-29T15:48:46Z,9022,117,38,public,,22,,39.15
24,Ram Mandir Special: Mega 'Pran Pratishtha' Rewind | Ayodhya Ram Mandir Pran Pratishtha | News18,The_Right_Stand_With_Anand_Narasimhan,CNN-News18,57m 58s,2024-01-26T15:47:13Z,5313,41,1,public,,23,,57.96666666666667
25,Modi- Macron Bonhomie: Shaping A New Chapter In Ties | Emmanuel Macron In India | English News,The_Right_Stand_With_Anand_Narasimhan,CNN-News18,9m 44s,2024-01-25T16:14:40Z,901,6,1,public,,17,,9.733333333333333
26,2024 Mahayudh: Modi Guarantee Vs Wobbly Opposition | Lok Sabha Elections 2024 | English News,The_Right_Stand_With_Anand_Narasimhan,CNN-News18,35m 19s,2024-01-25T16:09:38Z,2726,24,4,public,,22,,35.31666666666667
27,Ayodhya Ram Mandir | Manish Tripathi Exclusive : The Man Who Designed Ram Lalla's Attire | News18,The_Right_Stand_With_Anand_Narasimhan,CNN-News18,11m 34s,2024-01-24T16:06:49Z,462,2,0,public,,22,,11.566666666666666
28,Do We Need To Learn Lessons On 'Sustainability'? | The Right Stand With Anand Naramsihan | News18,The_Right_Stand_With_Anand_Narasimhan,CNN-News18,23m 44s,2024-01-24T08:45:44Z,524,3,0,public,,22,,23.733333333333334
29,Mahabharat's Krishna On Ram | Nitish Bharadwaj's Exclusive Interview On Ram | Ram Mandir | News18,The_Right_Stand_With_Anand_Narasimhan,CNN-News18,21m 51s,2024-01-23T15:44:37Z,110395,2332,277,public,,18,,21.85
30,Discussion Over Women & Hindu Tradition | Dayanand Kanya Gurukul | Women's Education In India,The_Right_Stand_With_Anand_Narasimhan,CNN-News18,27m 1s,2024-01-23T15:40:14Z,5052,237,35,public,,24,,27.016666666666666
31,Ram Mandir Ayodhya | PM Modi Unveils Lord Ram Idol | Ram Temple Consecration Ceremony | News18,The_Right_Stand_With_Anand_Narasimhan,CNN-News18,49m 47s,2024-01-22T16:43:35Z,2085,24,2,public,,18,,49.78333333333333
32,Actor And Author Anupam Kher Talks About Ayodhya Ram Mandir's Pran Pratishtha Ceremony | News18,The_Right_Stand_With_Anand_Narasimhan,CNN-News18,13m 5s,2024-01-21T16:44:41Z,12201,114,7,public,,20,,13.083333333333334
33,Ram Lalla Virajman: Special From Ayodhya | Ram Mandir Ayodhya | Ram Temple Inauguration | News18,The_Right_Stand_With_Anand_Narasimhan,CNN-News18,32m 32s,2024-01-19T16:35:29Z,993,8,0,public,,19,,32.53333333333333
34,Pranam Siya Ram': Team Behind 'Ram Anthem' | Ram Mandir Ayodhya | Ram Temple Inauguration | News18,The_Right_Stand_With_Anand_Narasimhan,CNN-News18,9m 35s,2024-01-19T16:30:22Z,1542,9,0,public,,19,,9.583333333333334
35,"Exclusive: Brahmarishi Mohanji Interview | Brahmarishi Mohanji On Ram, Mandir And Bharat | News18",The_Right_Stand_With_Anand_Narasimhan,CNN-News18,19m 53s,2024-01-18T17:04:00Z,2049,57,28,public,,19,,19.883333333333333
36,Hindutva Inclusive In Thought? | Ram Mandir Ayodhya | Ram Temple | Ram Temple Inauguration | News18,The_Right_Stand_With_Anand_Narasimhan,CNN-News18,32m 56s,2024-01-18T16:54:11Z,1232,14,3,public,,19,,32.93333333333333
37,Ayodhya Ram Mandir News | Ram Mandir : Tracing The Longest Legal Battle 1528-2019 | English News,The_Right_Stand_With_Anand_Narasimhan,CNN-News18,54m 1s,2024-01-17T16:31:26Z,43939,606,123,public,,22,,54.016666666666666
38,Hinduvta : Knowledge Or Belief System | Hinduvta | Hinduism | Ayodhya Ram Mandir | English News,The_Right_Stand_With_Anand_Narasimhan,CNN-News18,21m 53s,2024-01-16T15:45:27Z,873,10,0,public,,19,,21.883333333333333
39,India Maldives Diplomatic Relations | Relations Between India And Maldives After The Controversy,The_Right_Stand_With_Anand_Narasimhan,CNN-News18,24m 36s,2024-01-15T15:47:23Z,5243,32,19,public,,22,,24.6
40,"Ram Mandir Ayodhya News | Can An Unfinished Temple Be Consecrated? | Ram, Bharat & Hindutva!",The_Right_Stand_With_Anand_Narasimhan,CNN-News18,25m 36s,2024-01-15T15:44:35Z,3184,33,3,public,,23,,25.6
41,Ram Mandir Ayodhya | Politics Over The 'Pran Pratishtha' Ceremony Of Lord Ram | Ayodhya Ram Temple,The_Right_Stand_With_Anand_Narasimhan,CNN-News18,28m 17s,2024-01-12T17:05:22Z,1971,13,6,public,,19,,28.283333333333335
42,Ram Mandir Ayodhya | Author Amish Tripathi Full Interview On His New Book 'Idols' | News18,The_Right_Stand_With_Anand_Narasimhan,CNN-News18,26m,2024-01-12T16:59:43Z,5323,112,10,public,,21,,0.0
43,Ram Mandir Ayodhya | What Ram Mandir Means For 'Hindu Asmita'? | Ram Temple Ayodhya | English News,The_Right_Stand_With_Anand_Narasimhan,CNN-News18,57m 16s,2024-01-09T15:43:39Z,6260,115,7,public,,20,,57.266666666666666
44,Sadhavi Ruthambhara On Ayodhya Ram Mandir | Ayodhya Ram Mandir | Sadhavi Ruthambhara Interview,The_Right_Stand_With_Anand_Narasimhan,CNN-News18,18m 37s,2024-01-08T16:23:00Z,795,7,0,public,,19,,18.616666666666667
45,PM Modi Trip To Indian Islands Prompts Maldives Row | Maldives Controversy | English News | News18,The_Right_Stand_With_Anand_Narasimhan,CNN-News18,36m 5s,2024-01-08T15:55:00Z,8788,109,50,public,,22,,36.083333333333336
46,Sadhavi Ruthambhara Exclusive | Ayodhya Ram Mandir | Sadhavi Ruthambhara Interview | News18,The_Right_Stand_With_Anand_Narasimhan,CNN-News18,17m 25s,2024-01-08T15:50:49Z,632,9,2,public,,19,,17.416666666666668
47,Exclusive: Padma Bhushan Dr David Frawley Explains Why Opposition Fears Ram Mandir | News18,The_Right_Stand_With_Anand_Narasimhan,CNN-News18,24m 10s,2024-01-05T16:06:13Z,152980,3492,319,public,,19,,24.166666666666668
48,ISIS-ISI-Taliban: Combined Threat For Bharat? | Huge Numbers Of ISIS Sympathisers In India | News18,The_Right_Stand_With_Anand_Narasimhan,CNN-News18,9m 14s,2024-01-05T16:00:15Z,1552,15,2,public,,20,,9.233333333333333
49,Exclusive: Jain Seer Lokesh Muni Recalls 1992 Peace Talks Amid 'Rajniti' Over Ram | Ram Mandir News,The_Right_Stand_With_Anand_Narasimhan,CNN-News18,13m,2024-01-04T16:15:32Z,895,14,1,public,,16,,0.0
50,"Delhi, Daaru, Dawai: 'Imaandaar' Image Dented? | Arvind Kejriwal Latest News | ED Summons | News18",The_Right_Stand_With_Anand_Narasimhan,CNN-News18,35m 24s,2024-01-04T15:38:32Z,9542,67,34,public,,19,,35.4
51,"Exclusive: Pujya Puri Shankaracharya Ji On Hindu, Hindutva, And Hindustan | English News | News18",The_Right_Stand_With_Anand_Narasimhan,CNN-News18,30m 3s,2024-01-03T17:33:38Z,79405,2660,1047,public,,22,,30.05
52,"CAA Notification Soon, Aiding 'Vistapit' Hindus Or 2024 Poll Move? | CAA Latest News | News18",The_Right_Stand_With_Anand_Narasimhan,CNN-News18,24m 3s,2024-01-03T16:40:27Z,1083,9,2,public,,17,,24.05
53,Ram Mandir | Archaeologist KK Muhammed Exclusive Interview On The Ram Janmabhoomi | News18,The_Right_Stand_With_Anand_Narasimhan,CNN-News18,14m 32s,2024-01-02T16:03:05Z,151082,2798,471,public,,19,,14.533333333333333
54,Author Priyam Gandhi Mody Talks To News18 About Her Latest Book ' What If There Was No Congress',The_Right_Stand_With_Anand_Narasimhan,CNN-News18,8m 50s,2024-01-02T15:40:21Z,1408,20,2,public,,16,,8.833333333333334
55,Ram Mandir News | Asaduddin Owaisi's Remark On Ram Mandir Sparks Political Controversy | News18,The_Right_Stand_With_Anand_Narasimhan,CNN-News18,30m 18s,2024-01-02T15:28:39Z,1564,8,7,public,,22,,30.3
0,Electoral Bonds Declared 'Unconstitutional' By SC | Supreme Court Verdict On Electoral Bonds News,The_Hard_Facts_With_Rahul_Shivshankar,CNN-News18,35m 9s,2024-02-15T15:18:46Z,2820,28,8,18,,,,35.15
1,West Bengal News | Chilling Reports Of Abuse From The Sandeshkhali Of West Bengal | News18,The_Hard_Facts_With_Rahul_Shivshankar,CNN-News18,15m 44s,2024-02-15T15:15:13Z,4450,158,74,22,,,,15.733333333333333
2,"Exposed: Duplicity Over MSP Law | After OBCs, Congress Deluding Kisan? | Farmers Protest | News18",The_Hard_Facts_With_Rahul_Shivshankar,CNN-News18,6m 30s,2024-02-14T15:53:33Z,2127,32,25,21,,,,6.5
3,PM Modi Inaugurates First Hindu Temple In Abu Dhabi | PM Modi In UAE | UAE Hindu Temple | News18,The_Hard_Facts_With_Rahul_Shivshankar,CNN-News18,34m 34s,2024-02-14T14:54:52Z,7912,125,39,16,,,,34.56666666666667
4,Farmers Protest 2024 | Escalation At Shambhu And Singhu Borders Amid Farmer Protests | News18,The_Hard_Facts_With_Rahul_Shivshankar,CNN-News18,10m 58s,2024-02-13T15:59:12Z,1076,13,9,21,,,,10.966666666666667
5,Farmers Protest 2024 News | As Farmers Protest Intensifies In Delhi Debate Sparks On Consequences,The_Hard_Facts_With_Rahul_Shivshankar,CNN-News18,34m 59s,2024-02-13T15:53:45Z,12116,128,141,21,,,,34.983333333333334
6,Farmers Protest | Farmers Protest Updates: Farmers' Face-Off With Cops On Punjab-Haryana Border,The_Hard_Facts_With_Rahul_Shivshankar,CNN-News18,10m 7s,2024-02-13T15:03:43Z,657,7,3,19,,,,10.116666666666667
7,Release Of Coimbatore Blast Convicts: DMK's Action Is A Dangerous Catalyst In Appeasing Minorities,The_Hard_Facts_With_Rahul_Shivshankar,CNN-News18,9m 40s,2024-02-12T15:58:07Z,2811,70,34,19,,,,9.666666666666666
8,"After Return Of Indians Jailed In Qatar, Centre Says PM Modi Was In Charge | English News | News18",The_Hard_Facts_With_Rahul_Shivshankar,CNN-News18,41m 3s,2024-02-12T15:53:54Z,51424,711,177,18,,,,41.05
9,"Nitish Kumar & Now Jayant Chaudhary Expand NDA: Before Poll, NDA Wins Vote Of Confidence? | News18",The_Hard_Facts_With_Rahul_Shivshankar,CNN-News18,14m 15s,2024-02-09T14:42:15Z,1190,13,3,18,,,,14.25
10,Bharat Ratna Politics: Who Denied Bharat Ratnas For So Long? | Bharat Ratna Award | English News,The_Hard_Facts_With_Rahul_Shivshankar,CNN-News18,38m 17s,2024-02-09T14:37:29Z,23026,246,72,19,,,,38.28333333333333
11,Congress's Hindutva Iran Barb On UCC | Uttarakhand Uniform Civil Code | The Hard Facts | News18,The_Hard_Facts_With_Rahul_Shivshankar,CNN-News18,35m 46s,2024-02-08T14:26:16Z,4365,85,26,20,,,,35.766666666666666
12,Delhi News | Arvind Kejriwal Summoned By Delhi Court After Probe Agency ED's Complaint | News18,The_Hard_Facts_With_Rahul_Shivshankar,CNN-News18,17m 23s,2024-02-07T14:45:59Z,13649,67,12,19,,,,17.383333333333333
13,BJP Draws Roadmap Will SC Block Course? | The Hard Facts | Yogi Adityanath | BJP News Today,The_Hard_Facts_With_Rahul_Shivshankar,CNN-News18,35m 19s,2024-02-07T14:33:57Z,6529,78,32,21,,,,35.31666666666667
14,"Ayodhya Ke Baad, Kashi...': Adityanath Days After Court Allowed Hindu Prayers In Gyanvapi | News18",The_Hard_Facts_With_Rahul_Shivshankar,CNN-News18,7m 45s,2024-02-07T13:56:20Z,205,4,0,21,,,,7.75
15,PM Modi News Updates | Modi Predicts 370+ Seats For BJP In 2024 Lok Sabha Elections | News18,The_Hard_Facts_With_Rahul_Shivshankar,CNN-News18,51m 48s,2024-02-06T14:56:23Z,34700,428,135,23,,,,51.8
16,BJP News | Twenty Five Religious Leaders From The Minority Community Met PM Modi | The Hard Fact,The_Hard_Facts_With_Rahul_Shivshankar,CNN-News18,50m 30s,2024-02-05T14:49:57Z,37860,396,91,23,,,,50.5
17,Union Budget 2024 | Decoding FM Nirmala Sitharaman's Interim Budget 2024 | English News | News18,The_Hard_Facts_With_Rahul_Shivshankar,CNN-News18,16m 53s,2024-02-02T15:00:43Z,3156,14,3,23,,,,16.883333333333333
18,"Gyanvapi Verdict | 31 Years Later, Puja And Aarti Sparks Debate | Why Sully Prayers With Politics",The_Hard_Facts_With_Rahul_Shivshankar,CNN-News18,38m 53s,2024-02-02T14:44:18Z,17030,165,77,22,,,,38.88333333333333
19,"Dream Budget,' Says PM Modi, Opposition Calls It 'Disappointing' | Budget 2024 | English News",The_Hard_Facts_With_Rahul_Shivshankar,CNN-News18,53m 29s,2024-02-01T16:34:36Z,5748,43,3,18,,,,53.483333333333334
20,"Gyanvapi Verdict News | Litigant Sparks Reclamation Debate | Gyanvapi, Kashi, Ayodhya | News18",The_Hard_Facts_With_Rahul_Shivshankar,CNN-News18,18m 20s,2024-01-31T15:11:04Z,49540,739,233,23,,,,18.333333333333332
21,Gyanvapi Verdict News | Gyanvapi Verdict | News18 Access Full Order Copy On The Gyanvapi Verdict,The_Hard_Facts_With_Rahul_Shivshankar,CNN-News18,32m 45s,2024-01-31T14:42:17Z,18129,338,94,23,,,,32.75
22,"Hemant Soren Leaves His Ranchi Residence, Calls Meeting With JMM Party Members | Jharkhand | News18",The_Hard_Facts_With_Rahul_Shivshankar,CNN-News18,15m 18s,2024-01-30T15:36:49Z,861,4,3,20,,,,15.3
23,Chandigarh: BJP Wins Mayoral Polls; Cong-AAP Cry Foul After 8 Votes of INDIA Bloc Declared 'Invalid',The_Hard_Facts_With_Rahul_Shivshankar,CNN-News18,15m 35s,2024-01-30T15:32:41Z,24954,140,103,17,,,,15.583333333333334
24,Supreme Court Advocate J Sai Deepak On The ASI Survey On The Gyanvapi | Places Of Worship | News18,The_Hard_Facts_With_Rahul_Shivshankar,CNN-News18,13m 36s,2024-01-29T15:22:02Z,221034,5163,540,23,,,,13.6
25,Fatwa Issued Against Imam Who Attended Ram Mandir Pran Pratishtha Ceremony | India | News18,The_Hard_Facts_With_Rahul_Shivshankar,CNN-News18,37m 58s,2024-01-29T14:53:47Z,83505,1302,605,21,,,,37.96666666666667
26,"Bharat Ke Amar Jawan! This Republic Day 2024, Honour I.N.A | Republic Day India News \ News18",The_Hard_Facts_With_Rahul_Shivshankar,CNN-News18,9m 45s,2024-01-25T15:39:01Z,1007,12,0,17,,,,9.75
27,"PM Modi's 'Vikas Guarantee', I.N.D.I.A's 'Expired Warranty'? | Congress | The Hard Facts | News18",The_Hard_Facts_With_Rahul_Shivshankar,CNN-News18,43m 13s,2024-01-25T15:22:20Z,6935,74,27,22,,,,43.21666666666667
28,Mamata - Kejriwal Dump Congress: Unnatural Alliance's Natural Death? | I.N.D.I.A News | News18,The_Hard_Facts_With_Rahul_Shivshankar,CNN-News18,15m 16s,2024-01-24T14:39:15Z,7312,51,35,21,,,,15.266666666666667
29,"Gyanvapi: They Mocked Aastha, Will They Now Trivialise Truth? | Gyanvapi Masjid News | News18",The_Hard_Facts_With_Rahul_Shivshankar,CNN-News18,36m 57s,2024-01-24T14:33:42Z,19484,440,130,23,,,,36.95
30,Rahul Gandhi | Congress' Bharat Jodo Nyay Yatra In Assam | Assam News | Himanta Biswa Sarma | News18,The_Hard_Facts_With_Rahul_Shivshankar,CNN-News18,12m 21s,2024-01-23T15:29:03Z,3013,28,13,19,,,,12.35
31,Ram Mandir Ayodhya | I.N.D.I.A. Misread Bharat's Mood In 2024? | Ram Temple Inauguration | news18,The_Hard_Facts_With_Rahul_Shivshankar,CNN-News18,38m 49s,2024-01-23T15:25:25Z,50476,578,242,20,,,,38.81666666666667
32,Ram Has Finally Come': Ayodhya Temple Opens as PM Modi Performs Pran Pratishtha | English News,The_Hard_Facts_With_Rahul_Shivshankar,CNN-News18,52m 36s,2024-01-22T16:57:22Z,25825,314,52,18,,,,52.6
33,Ram Mandir Rises: Cultural Renaissance For India? | Ram Mandir Ayodhya | Ram Mandir Pran Pratsihtha,The_Hard_Facts_With_Rahul_Shivshankar,CNN-News18,52m 42s,2024-01-20T14:43:15Z,20858,269,49,19,,,,52.7
34,After 500 Years Ram Lalla Virajman: Precedent In Ayodhya Key To Kashi? | Ram Temple Ayodhya | News18,The_Hard_Facts_With_Rahul_Shivshankar,CNN-News18,36m 17s,2024-01-19T15:09:02Z,18031,210,41,19,,,,36.28333333333333
35,"PM Modi's Ram Obeisance in Tamil Nadu, Dakshina Darshan Decoded! | Ram Mandir Ayodhya | News18",The_Hard_Facts_With_Rahul_Shivshankar,CNN-News18,16m 33s,2024-01-19T14:56:01Z,80049,974,207,19,,,,16.55
36,"Ram Mandir & India's Muslims, What's The Message From Ram Nagri? | Author Ashwin Sanghi Exclusive",The_Hard_Facts_With_Rahul_Shivshankar,CNN-News18,15m 5s,2024-01-18T15:13:13Z,18179,189,69,23,,,,15.083333333333334
37,Ram Mandir News | Supreme Court Said No Ram Temple Was Demolished To Build Masjid | Ayodhya News,The_Hard_Facts_With_Rahul_Shivshankar,CNN-News18,37m 49s,2024-01-18T14:39:35Z,16206,169,80,23,,,,37.81666666666667
38,Lord Ram's Legacy Restored By Prime Minister Narendra Modi? | Ram Mandir Ayodhya | Ram Temple,The_Hard_Facts_With_Rahul_Shivshankar,CNN-News18,34m 12s,2024-01-17T14:38:09Z,8332,140,84,19,,,,34.2
39,Exclusive: Author Amish Tripathi Interview On Ayodhya's Rise & Bharat | Message In Renaissance,The_Hard_Facts_With_Rahul_Shivshankar,CNN-News18,17m 16s,2024-01-17T14:31:08Z,965,9,0,19,,,,17.266666666666666
40,Editor Of The Thuglak S Gurumurthy's Exclusive Interview On The Ram mandir Pran Pratishtha | News18,The_Hard_Facts_With_Rahul_Shivshankar,CNN-News18,18m 33s,2024-01-16T15:02:25Z,42911,627,86,18,,,,18.55
41,Ayodhya Ram Mandir | Preparations For The Grand Ram Mandir's Pran Pratishtha In Full Swing | News18,The_Hard_Facts_With_Rahul_Shivshankar,CNN-News18,34m 9s,2024-01-16T14:57:53Z,17876,222,51,19,,,,34.15
42,‘Don't Believe In Doing Negative Politics’: Milind Deora Explains Why He Quit Congress | News18,The_Hard_Facts_With_Rahul_Shivshankar,CNN-News18,16m 26s,2024-01-15T15:29:36Z,57673,353,106,20,,,,16.433333333333334
43,January 22 'Pran Pratishta': Why Ram Is Above Religion? | Ram Mandir Ayodhya | Ram Temple Ayodhya,The_Hard_Facts_With_Rahul_Shivshankar,CNN-News18,7m 41s,2024-01-11T15:17:16Z,1676,12,0,19,,,,7.683333333333334
44,Congress To Boycott 'Pran Pratishta': Bharat's Ram Not I.N.D.I.A'S Idol? | Ram Mandir Ayodhya,The_Hard_Facts_With_Rahul_Shivshankar,CNN-News18,45m 46s,2024-01-11T15:12:35Z,70163,933,633,19,,,,45.766666666666666
45,Guarantees Bleeding Karnataka': Congress Faces Perils Of Buying Votes? | Karnataka Latest News,The_Hard_Facts_With_Rahul_Shivshankar,CNN-News18,14m 58s,2024-01-09T14:50:44Z,68914,470,352,21,,,,14.966666666666667
46,PM Modi-UAE President News | Modi- Al Nahyan Roadshow : Stamp For NDA's Sabka Saath | News18,The_Hard_Facts_With_Rahul_Shivshankar,CNN-News18,35m 41s,2024-01-09T14:44:28Z,33779,364,62,17,,,,35.68333333333333
47,"Bilkis Bano Case: SC Strikes Down Gujarat Govt’s Remission Order, Asks Them to Surrender | News18",The_Hard_Facts_With_Rahul_Shivshankar,CNN-News18,17m 23s,2024-01-08T14:55:51Z,30932,115,72,19,,,,17.383333333333333
48,Prime Minister Modi's Lakshadweep Visit Exposes Tension In India-Maldives Ties | English News,The_Hard_Facts_With_Rahul_Shivshankar,CNN-News18,33m 38s,2024-01-08T14:52:34Z,97192,1127,368,22,,,,33.63333333333333
49,Need For Ram Mandir Questioned: Hindu Aastha 2nd Rate For I.N.D.I.A? | Ram Mandir Ayodhya | News18,The_Hard_Facts_With_Rahul_Shivshankar,CNN-News18,34m 11s,2024-01-05T16:27:39Z,22567,297,178,19,,,,34.18333333333333
50,Poojary Was Not An 'Absconder': CNN-News18 Accesses Document | Ram Mandir 1992 Case | News18,The_Hard_Facts_With_Rahul_Shivshankar,CNN-News18,18m 12s,2024-01-04T14:44:16Z,1206,10,9,19,,,,18.2
51,Arvind Kejriwal Slamming ED Summons Ahead Of Lok Sabha Polls | Arvind Kejriwal News | News18,The_Hard_Facts_With_Rahul_Shivshankar,CNN-News18,33m 3s,2024-01-04T14:34:06Z,12233,166,41,19,,,,33.05
52,"Ahead of Ram Temple Opening, Cong Leader BK Hariprasad Says 'Godhra-Like Riots Likely | News18",The_Hard_Facts_With_Rahul_Shivshankar,CNN-News18,36m 11s,2024-01-03T14:23:25Z,8946,99,65,19,,,,36.18333333333333
53,Ayodhya Ram Mandir News | Asaduddin Owaisi's Remark Ahead Of Ram Temple Opening Ignites Controversy,The_Hard_Facts_With_Rahul_Shivshankar,CNN-News18,35m 39s,2024-01-02T15:06:12Z,12565,141,92,21,,,,35.65
54,Karnataka BJP Alleges Arrest Of Ram Temple Agitation Activists After 31 Years | Ram Mandir | News18,The_Hard_Facts_With_Rahul_Shivshankar,CNN-News18,12m 38s,2024-01-02T15:01:25Z,1644,21,4,0,,,,12.633333333333333
0,Newstrack With Rahul Kanwal Live: BJP On Backfoot After Indictment | SC On Electoral Bonds Live,Newstrack_with_Rahul_Kanwal,India Today,46m 51s,2024-02-16T05:58:32Z,129,1,1,public,,,16.0,46.85
1,Prime Minister Modi Returns From Qatar Visit | India Today,Newstrack_with_Rahul_Kanwal,India Today,2m 53s,2024-02-15T16:25:08Z,6596,64,7,public,,,18.0,2.8833333333333333
2,Farm Leader's Controversial Comment In Centre-farmers Talks Sparks Debate,Newstrack_with_Rahul_Kanwal,India Today,3m 5s,2024-02-15T16:22:30Z,8266,81,109,public,,,27.0,3.0833333333333335
3,"Sandeshkhali Conflict Escalates: Mamata Banerjee Blames BJP, RSS",Newstrack_with_Rahul_Kanwal,India Today,4m 34s,2024-02-15T16:21:29Z,4353,49,24,public,,,30.0,4.566666666666666
